Date,Payment_Mode,Volume,Value,ATS,MoM,YoY,log_volume,log_value,is_covid_shock,is_policy_change,is_festive_month,is_fy_end,MoM_Anomaly
2023-12-01,Credit,321499532.0,1651192351100.2998,5135.90903485452,8.216341564500173,25.759408289192166,19.588506645964372,28.132518779895104,0,0,0,0,0
2024-01-01,Credit,328951519.0,1664439336665.86,5059.831739721682,2.317884245007229,26.835902753251382,19.611420939208678,28.140509447917864,0,0,0,0,0
2024-02-01,Credit,311244411.0,1492063703663.02,4793.865049236241,-5.382892911949133,33.97215517491925,19.556089048955464,28.031181313623716,0,0,0,0,0
2024-03-01,Credit,343937776.0,1644590765583.0698,4781.652032264899,10.504080987336994,30.56185997455556,19.655971315255307,28.128512694474782,0,0,0,1,0
2024-04-01,Credit,344150699.0,1564983778895.7102,4547.379341210375,0.06190741897453833,32.74599831703951,19.65659019789768,28.07889657494408,0,0,0,0,0
2024-05-01,Credit,360135663.0,1649552637471.57,4580.364587418187,4.6447570922992565,31.689050521810525,19.70199136009411,28.13152523827387,0,0,0,0,0
2024-06-01,Credit,357949455.0,1588221013802.2698,4436.997994038767,-0.6070512377997939,36.15166362181459,19.695902347246292,28.093635646526558,0,0,0,0,0
2024-07-01,Credit,383779537.0,1726702055207.3,4499.203028657831,7.216125528114015,38.00556970985174,19.765578823284798,28.17723437861561,0,0,0,0,0
2024-08-01,Credit,390049324.0,1681841926000.0,4311.8698649507205,1.6336949721214467,34.2323889381555,19.781783760885954,28.15091069327696,0,0,0,0,0
2024-09-01,Credit,392162365.0,1762020539117.3,4493.089333335952,0.5417368701810643,43.15477969283579,19.787186508427645,28.19748230008135,0,0,0,0,0
2024-10-01,Credit,433213786.0,2017889050157.53,4657.952067475364,10.467965481593321,35.35912565636736,19.88674189622279,28.33307305624817,0,0,1,0,0
2024-11-01,Credit,393603746.0,1692981635398.65,4301.2335441508985,-9.143300901324503,32.48653008366671,19.790855240373507,28.157512371648387,0,0,1,0,0
2024-12-01,Credit,432849503.0,1879494213302.07,4342.142477409914,9.970879951940304,34.63456705747241,19.885900657421633,28.262023821096246,0,0,0,0,0
2025-01-01,Credit,430572385.00000006,1841261651736.34,4276.31152363926,-0.5260761498436906,30.892353471698076,19.88062600939353,28.241472132869603,0,0,0,0,0
2025-02-01,Credit,396959090.0,1672079644952.6,4212.221579187417,-7.806653694244714,27.539347204535012,19.799343785482726,28.145089263997598,0,0,0,0,0
2025-03-01,Credit,458650422.99999994,2014938984997.99,4393.191162494557,15.540980054141084,33.352732675691875,19.943798872191397,28.331610030470713,0,0,0,1,0
2019-11-01,Debit,418083816.511,582086856690.2999,1392.2731129560116,,,19.85119248835689,27.089885511842407,0,0,1,0,0
2019-12-01,Debit,444874880.00000006,627524496268.1,1410.564013567365,6.408060401040472,,19.913303632055904,27.165048545067844,0,0,0,0,0
2020-01-01,Debit,450084588.0,628711862782.4,1396.8748976190227,1.1710501613397373,,19.9249460963972,27.16693890090626,0,0,0,0,0
2020-02-01,Debit,424574409.0,585608521334.2,1379.2836047596074,-5.667863259516903,,19.866597834573923,27.095917350946316,0,0,0,0,0
2020-03-01,Debit,360812580.0,482089507919.3,1336.1216726958355,-15.017821999723967,,19.70386921250721,26.90139563483409,1,0,0,1,0
2020-04-01,Debit,205366204.00000003,232504825678.49997,1132.14745732214,-43.08230494624106,,19.140305304433127,26.17217681736488,1,0,0,0,1
2020-05-01,Debit,265881667.00000003,379837928113.6,1428.5976630107405,29.46709917275385,,19.39856190686375,26.66301049372352,0,0,0,0,1
2020-06-01,Debit,300233734.0,477110416695.89996,1589.1299433257554,12.92005853115099,,19.52007184260257,26.891013782589802,0,0,0,0,0
2020-07-01,Debit,316193045.0,503249592903.7,1591.5896976914846,5.315628856016552,,19.571863486925317,26.94435209253146,0,0,0,0,0
2020-08-01,Debit,338942109.0,547700669185.89996,1615.9121414621868,7.194675645063597,,19.641339880850378,27.028994750546367,0,0,0,0,0
2020-09-01,Debit,350781077.0,553663537642.8,1578.3734469884191,3.492917429153075,,19.675672874590024,27.03982300641771,0,0,0,0,0
2020-10-01,Debit,393266485.0,691409648150.3,1758.1199378083288,12.111659033420441,,19.78999801892233,27.26199831884959,0,0,1,0,0
2020-11-01,Debit,376574526.0,678887878289.7001,1802.798201728866,-4.244439746753404,-9.928461440436509,19.746626529838956,27.243721823167082,0,0,1,0,0
2020-12-01,Debit,376508868.0,651783174293.6,1731.1230350452197,-0.017435592549874812,-15.367469613029183,19.746452158711698,27.202977788800048,0,0,0,0,0
2021-01-01,Debit,369954322.0,631571339626.2,1707.16032242002,-1.7408742680663725,-17.803379217241712,19.728890101927412,27.17147674088571,0,1,0,0,0
2021-02-01,Debit,344546487.0,592266709259.0,1718.9747439189534,-6.86783029392477,-18.848974479759562,19.657739579807807,27.107222892772633,0,0,0,0,0
2021-03-01,Debit,376305309.0,673864076322.7,1790.737627681729,9.217572431670163,4.2938439119833305,19.745911363888272,27.236294260344156,0,0,0,1,0
2021-04-01,Debit,321323241.0,561831046986.1,1748.4917842780628,-14.611026388681648,56.46354402109899,19.58795815573713,27.054467013503793,0,0,0,0,0
2021-05-01,Debit,255659647.0,432251019644.60004,1690.728375466309,-20.43537025073141,-3.8445749627408654,19.35935761396315,26.79227232043034,0,0,0,0,0
2021-06-01,Debit,294674079.0,510435713418.39996,1732.2043226557432,15.260301129962839,-1.8517755902806021,19.5013804865948,26.95853053796014,0,0,0,0,0
2021-07-01,Debit,340536735.0,610874380805.0,1793.8575138009708,15.563858265253128,7.698996035792005,19.64603356319718,27.13815717891641,0,0,0,0,0
2021-08-01,Debit,358829212.0,648667450566.7,1807.7331189153572,5.371660417194057,5.867404040965596,19.698357100665373,27.198186019502504,0,0,0,0,0
2021-09-01,Debit,349029003.0,625890509137.0,1793.2335243125913,-2.73116253422534,-0.49947791225921634,19.670665579865688,27.162441287216804,0,0,0,0,0
2021-10-01,Debit,385294885.0,764705099051.5,1984.726838643342,10.390506716715464,-2.027022465440964,19.769519534138425,27.362756105016075,0,0,1,0,0
2021-11-01,Debit,340701690.0,671093581960.5,1969.7395159985851,-11.57378328549573,-9.526092054352075,19.64651784299459,27.232174430602647,0,0,1,0,0
2021-12-01,Debit,349921321.0,664910344739.0,1900.170995122072,2.706071402228738,-7.061599144060537,19.67321889003421,27.222918048571888,0,0,0,0,0
2022-01-01,Debit,319299517.0,600253590246.3,1879.9076048909276,-8.751054069094577,-13.692178192744564,19.58164014499987,27.120618053281532,0,0,0,0,0
2022-02-01,Debit,295622576.0,570701174832.4,1930.5060613246264,-7.41527617155775,-14.199509455454118,19.504594117599687,27.070131573068345,0,0,0,0,0
2022-03-01,Debit,327518914.0,640518653640.2,1955.6692033981278,10.78954741264415,-12.964577919361753,19.607056364043714,27.18554408141915,0,0,0,1,0
2022-04-01,Debit,331186797.0,650616729307.542,1964.500804986927,1.1198995976152926,3.0696677804267436,19.618193115550348,27.201186564315602,0,0,0,0,0
